,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_global,poa_diffuse
2020-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,5.99,2.83,0.0,0.0,0.0
2020-01-01 00:30:00+00:00,0.0,0.0,0.0,0.0,5.945,2.725,0.0,0.0,0.0
2020-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,5.9,2.62,0.0,0.0,0.0
2020-01-01 01:30:00+00:00,0.0,0.0,0.0,0.0,5.785,2.515,0.0,0.0,0.0
2020-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,5.67,2.41,0.0,0.0,0.0
2020-01-01 02:30:00+00:00,0.0,0.0,0.0,0.0,5.515000000000001,2.375,0.0,0.0,0.0
2020-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,5.36,2.34,0.0,0.0,0.0
2020-01-01 03:30:00+00:00,0.0,0.0,0.0,0.0,5.16,2.24,0.0,0.0,0.0
2020-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,4.96,2.14,0.0,0.0,0.0
2020-01-01 04:30:00+00:00,0.0,0.0,0.0,0.0,4.765000000000001,2.035,0.0,0.0,0.0
2020-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,4.57,1.93,0.0,0.0,0.0
2020-01-01 05:30:00+00:00,0.0,0.0,0.0,0.0,4.425000000000001,1.725,0.0,0.0,0.0
2020-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,4.28,1.52,0.0,0.0,0.0
2020-01-01 06:30:00+00:00,0.0,0.0,0.0,0.0,4.27,1.52,0.0,0.0,0.0
2020-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,4.26,1.52,0.0,0.0,0.0
2020-01-01 07:30:00+00:00,0.0,0.0,0.0,0.0,4.145,1.52,0.0,0.0,0.0
2020-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,4.03,1.52,0.0,0.0,0.0
2020-01-01 08:30:00+00:00,0.5,13.395,0.0,2.655,4.025,1.45,0.0,13.895,13.395
2020-01-01 09:00:00+00:00,1.0,26.79,0.0,5.31,4.02,1.38,0.0,27.79,26.79
2020-01-01 09:30:00+00:00,0.5,33.894999999999996,0.0,7.845000000000001,4.035,1.6549999999999998,0.0,34.394999999999996,33.894999999999996
2020-01-01 10:00:00+00:00,0.0,41.0,0.0,10.38,4.05,1.93,0.0,41.0,41.0
2020-01-01 10:30:00+00:00,0.0,40.5,0.0,11.97,4.140000000000001,1.9649999999999999,0.0,40.5,40.5
2020-01-01 11:00:00+00:00,0.0,40.0,0.0,13.56,4.23,2.0,0.0,40.0,40.0
2020-01-01 11:30:00+00:00,0.0,51.5,0.0,14.065000000000001,4.33,2.205,0.0,51.5,51.5
2020-01-01 12:00:00+00:00,0.0,63.0,0.0,14.57,4.43,2.41,0.0,63.0,63.0
2020-01-01 12:30:00+00:00,1.0,70.0,0.0,13.95,4.52,2.48,0.0,71.0,70.0
2020-01-01 13:00:00+00:00,2.0,77.0,0.0,13.33,4.61,2.55,0.0,79.0,77.0
2020-01-01 13:30:00+00:00,1.0,63.0,0.0,11.635,4.68,2.55,0.0,64.0,63.0
2020-01-01 14:00:00+00:00,0.0,49.0,0.0,9.94,4.75,2.55,0.0,49.0,49.0
2020-01-01 14:30:00+00:00,0.0,34.5,0.0,7.32,4.845000000000001,2.62,0.0,34.5,34.5
2020-01-01 15:00:00+00:00,0.0,20.0,0.0,4.7,4.94,2.69,0.0,20.0,20.0
2020-01-01 15:30:00+00:00,0.0,10.0,0.0,2.35,4.9350000000000005,2.3449999999999998,0.0,10.0,10.0
2020-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,4.93,2.0,0.0,0.0,0.0
2020-01-01 16:30:00+00:00,0.0,0.0,0.0,0.0,5.02,1.9649999999999999,0.0,0.0,0.0
2020-01-01 17:00:00+00:00,0.0,0.0,0.0,0.0,5.11,1.93,0.0,0.0,0.0
2020-01-01 17:30:00+00:00,0.0,0.0,0.0,0.0,5.225,2.035,0.0,0.0,0.0
2020-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,5.34,2.14,0.0,0.0,0.0
2020-01-01 18:30:00+00:00,0.0,0.0,0.0,0.0,5.545,2.3449999999999998,0.0,0.0,0.0
2020-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,5.75,2.55,0.0,0.0,0.0
2020-01-01 19:30:00+00:00,0.0,0.0,0.0,0.0,5.845000000000001,2.7249999999999996,0.0,0.0,0.0
2020-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,5.94,2.9,0.0,0.0,0.0
2020-01-01 20:30:00+00:00,0.0,0.0,0.0,0.0,6.015000000000001,3.105,0.0,0.0,0.0
2020-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,6.09,3.31,0.0,0.0,0.0
2020-01-01 21:30:00+00:00,0.0,0.0,0.0,0.0,6.140000000000001,3.45,0.0,0.0,0.0
2020-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,6.19,3.59,0.0,0.0,0.0
2020-01-01 22:30:00+00:00,0.0,0.0,0.0,0.0,6.305,3.69,0.0,0.0,0.0
2020-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,6.42,3.79,0.0,0.0,0.0
